[08:24:04 PM] INFO Gmjk: Gmjk created item tent, item template: tent, WurmID: 12612070801666, QL: 22.0, Rarity: 0
[08:24:22 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12612070801666, Name: tent, Template: tent, QL: 22.0, Rarity: 0, Tile: 964,483]
[08:24:23 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309661483266, Name: young horse heart, Template: heart, QL: 99.0, Rarity: 0, Tile: 964,484]
[08:24:23 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309812478210, Name: horse tail, Template: tail, QL: 87.83826, Rarity: 0, Tile: 964,484]
[08:24:23 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309745369346, Name: meat, Template: meat, QL: 88.97601, Rarity: 0, Tile: 964,484]
[08:24:23 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309711814914, Name: meat, Template: meat, QL: 71.09923, Rarity: 0, Tile: 964,484]
[08:24:23 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309728592130, Name: meat, Template: meat, QL: 88.538376, Rarity: 0, Tile: 964,484]
[08:24:24 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309762146562, Name: meat, Template: meat, QL: 95.80533, Rarity: 0, Tile: 964,484]
[08:24:24 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309778923778, Name: meat, Template: meat, QL: 98.33913, Rarity: 0, Tile: 964,484]
[08:24:24 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309795700994, Name: meat, Template: meat, QL: 71.62001, Rarity: 0, Tile: 964,484]
[08:24:24 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309846032642, Name: horse fat, Template: fat, QL: 97.67176, Rarity: 0, Tile: 964,484]
[08:24:25 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309829255426, Name: horse hoof, Template: hoof, QL: 76.82491, Rarity: 0, Tile: 964,484]
[08:24:25 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309862809858, Name: horse hide, Template: hide, QL: 51.31435, Rarity: 0, Tile: 964,484]
[08:24:25 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309879587074, Name: horse bladder, Template: bladder, QL: 68.46295, Rarity: 0, Tile: 964,484]
[08:24:26 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309896364290, Name: horse eye, Template: eye, QL: 64.45606, Rarity: 0, Tile: 964,484]
[08:24:26 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309913141506, Name: horse eye, Template: eye, QL: 94.423645, Rarity: 0, Tile: 964,484]
[08:24:29 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309946695938, Name: healing cover, Template: healing cover, QL: 6.248225, Rarity: 0, Tile: 964,484]
[08:24:29 PM] INFO Gmjk: Gmjk destroyed Item [ID: 12309963473154, Name: healing cover, Template: healing cover, QL: 1.4190898, Rarity: 0, Tile: 964,484]
